date,pair,units,cost
2011-02-28,EURNOK,111506.73811578302,11.967452440652862
2011-02-28,EURSEK,-111507.71937109785,10.586175889661188
2011-03-07,EURNOK,-111506.73811578302,12.059562866265875
2011-03-07,EURSEK,111507.71937109785,10.534503483334705
2011-05-30,EURNOK,-136058.9525508069,15.036076755840373
2011-05-30,EURSEK,136062.08517965575,13.127703717464014
2011-06-06,EURNOK,136058.9525508069,15.179221570904991
2011-06-06,EURSEK,-136062.08517965575,13.198378618649313
2011-06-20,EURNOK,-138059.07345839238,14.95710593243932
2011-06-20,EURSEK,138038.7493534681,12.932645703144946
2011-06-27,EURNOK,20052.26107614668,2.2038680842775515
2011-06-27,EURSEK,-20036.748962720143,1.8691578372511717
2011-07-04,EURNOK,118006.8123822457,13.271370251606797
2011-07-04,EURSEK,-118002.00039074795,11.319317692440931
2011-07-11,EURNOK,110988.48431558967,12.065277129643404
2011-07-11,EURSEK,-110982.06098399566,10.151726772326342
2011-07-18,EURNOK,-110988.48431558967,11.961899478966393
2011-07-18,EURSEK,110982.06098399566,10.162882175513172
2011-09-19,AUDUSD,-152356.2476669547,36.56549944006913
2011-09-19,NZDUSD,188823.52546807626,45.3176461123383
2011-09-26,AUDUSD,152356.2476669547,36.56549944006913
2011-09-26,NZDUSD,-188823.52546807626,45.3176461123383
2012-05-28,AUDUSD,203713.82920631682,48.89131900951604
2012-05-28,NZDUSD,-263464.2492779682,63.23141982671237
2012-06-04,AUDUSD,-203713.82920631682,48.89131900951604
2012-06-04,NZDUSD,263464.2492779682,63.23141982671237
2012-07-16,EURNOK,161227.64603736412,15.900946401436375
2012-07-16,EURSEK,-161203.93018967198,13.746586619548216
2012-07-23,EURNOK,-161227.64603736412,15.92083534214685
2012-07-23,EURSEK,161203.93018967198,13.961280924061143
2012-07-30,AUDUSD,178831.60055176858,42.91958413242446
2012-07-30,NZDUSD,-232216.3465184339,55.73192316442413
2012-08-06,AUDUSD,-72172.25138478428,17.32134033234823
2012-08-06,NZDUSD,94665.16900803545,22.719640561928507
2012-08-13,AUDUSD,-106659.3491669843,25.598243800076233
2012-08-13,NZDUSD,137551.17751039844,33.012282602495624
2012-08-27,AUDUSD,-195325.69416721532,46.87816660013168
2012-08-27,NZDUSD,250601.48752957507,60.144357007098016
2012-09-03,AUDUSD,195325.69416721532,46.87816660013168
2012-09-03,NZDUSD,-250601.48752957507,60.144357007098016
2012-09-24,EURNOK,126419.07249436395,13.207427272882434
2012-09-24,EURSEK,-126410.61893930758,11.565649272417168
2012-10-01,EURNOK,-18073.936246925354,1.8921889173765711
2012-10-01,EURSEK,18074.702003463797,1.645096439900774
2012-10-08,EURNOK,-108345.1362474386,11.379596286885684
2012-10-08,EURSEK,108335.91693584378,9.795143256054953
2012-12-24,AUDUSD,189024.2486531065,45.365819676745566
2012-12-24,NZDUSD,-238319.73155715613,57.196735573717476
2012-12-31,AUDUSD,-189024.2486531065,45.365819676745566
2012-12-31,NZDUSD,238319.73155715613,57.196735573717476
2013-01-21,AUDUSD,183311.64940349225,43.99479585683814
2013-01-21,NZDUSD,-230605.1469776031,55.34523527462474
2013-01-28,AUDUSD,-183311.64940349225,43.99479585683814
2013-01-28,NZDUSD,230605.1469776031,55.34523527462474
2013-03-11,AUDUSD,184488.4350860291,44.27722442064698
2013-03-11,NZDUSD,-229063.4651869584,54.97523164487002
2013-03-18,AUDUSD,-38030.76452207871,9.12738348529889
2013-03-18,NZDUSD,44767.79535438088,10.744270885051412
2013-03-25,AUDUSD,38270.49402302009,9.184918565524821
2013-03-25,NZDUSD,-47243.51402582982,11.338443366199156
2013-04-01,AUDUSD,-40865.01136099096,9.80760272663783
2013-04-01,NZDUSD,52376.872396361316,12.570449375126715
2013-04-08,AUDUSD,-143863.1532259795,34.52715677423508
2013-04-08,NZDUSD,179162.31146204603,42.998954750891045
2013-05-13,EURNOK,-118378.40290993942,12.245197183981047
2013-05-13,EURSEK,118359.64258499557,10.74173910197806
2013-05-20,EURNOK,4291.835079738128,0.44160739604933413
2013-05-20,EURSEK,-4273.528403873293,0.3856035446121698
2013-05-27,EURNOK,114086.5678302013,11.715806168059421
2013-05-27,EURSEK,-114086.11418112228,10.31184372004793
2013-07-22,AUDUSD,-201115.36946037272,48.267688670489456
2013-07-22,NZDUSD,233488.74548473905,56.03729891633737
2013-07-29,AUDUSD,105616.67814082983,25.348002753799157
2013-07-29,NZDUSD,-124039.89853904204,29.76957564937009
2013-08-05,AUDUSD,95498.6913195429,22.919685916690295
2013-08-05,NZDUSD,-109448.846945697,26.26772326696728
2013-08-05,XAUUSD,-48.05122070984447,25.03756906307156
2013-08-05,XAGUSD,3179.2931053270477,25.03756906307156
2013-08-12,XAUUSD,48.05122070984447,25.717974348322958
2013-08-12,XAGUSD,-3179.2931053270477,27.188042919514782
2013-08-19,EURNOK,-102580.79542699667,10.403555933165093
2013-08-19,EURSEK,102603.33598523743,9.460394199648775
2013-08-26,EURNOK,38504.725548400515,3.8282051614840857
2013-08-26,EURSEK,-38520.32387734243,3.5517333343176833
