Ranking,Company Name,Symbol
234,Electronic Arts,EA
235,Baker Hughes,BKR
236,Ametek,AME
237,Public Service Enterprise Group,PEG
238,ResMed,RMD
239,Yum! Brands,YUM
240,Monolithic Power Systems,MPWR
241,Carnival,CCL
242,Kenvue,KVUE
243,Diamondback Energy,FANG
244,Delta Air Lines,DAL
245,Entergy,ETR
246,Rockwell Automation,ROK
247,Vulcan Materials Company,VMC
248,Sysco,SYY
249,Live Nation Entertainment,LYV
250,Prudential Financial,PRU
251,CoStar Group,CSGP
252,Verisk Analytics,VRSK
253,Hartford (The),HIG
254,Charter Communications,CHTR
255,Fidelity National Information Services,FIS
256,Martin Marietta Materials,MLM
257,Las Vegas Sands,LVS
258,Hershey Company (The),HSY
259,Consolidated Edison,ED
260,Cardinal Health,CAH
261,Microchip Technology,MCHP
262,Targa Resources,TRGP
263,Humana,HUM
264,Otis Worldwide,OTIS
265,Vici Properties,VICI
266,Xylem Inc.,XYL
267,WEC Energy Group,WEC
268,Cognizant,CTSH
269,Lennar,LEN
270,Seagate Technology,STX
271,Arch Capital Group,ACGL
272,Agilent Technologies,A
273,GE HealthCare,GEHC
274,Nucor,NUE
275,PG&E Corporation,PCG
276,United Airlines Holdings,UAL
277,Raymond James Financial,RJF
278,IQVIA,IQV
279,Estée Lauder Companies (The),EL
280,Wabtec,WAB
281,Fair Isaac,FICO
282,Tractor Supply,TSCO
283,Kraft Heinz,KHC
284,Willis Towers Watson,WTW
285,Dexcom,DXCM
286,Old Dominion,ODFL
287,State Street Corporation,STT
288,EQT Corporation,EQT
289,Ingersoll Rand,IR
290,Brown & Brown,BRO
291,DuPont,DD
292,Ventas,VTR
293,Broadridge Financial Solutions,BR
294,Equifax,EFX
295,M&T Bank,MTB
296,Constellation Brands,STZ
297,Warner Bros. Discovery,WBD
298,NRG Energy,NRG
299,Extra Space Storage,EXR
300,Archer Daniels Midland,ADM
301,DTE Energy,DTE
302,Hewlett Packard Enterprise,HPE
303,Fifth Third Bancorp,FITB
304,Keysight Technologies,KEYS
305,American Water Works,AWK
306,Kellanova,K
307,Rollins Inc.,ROL
308,Supermicro,SMCI
309,Ameren,AEE
310,Mettler Toledo,MTD
311,The Trade Desk Inc.,TTD
312,AvalonBay Communities,AVB
313,PPL Corporation,PPL
314,Iron Mountain,IRM
315,W. R. Berkley Corporation,WRB
316,Synchrony Financial,SYF
317,Veralto,VLTO
318,Western Digital,WDC
319,General Mills,GIS
320,Atmos Energy,ATO
321,Cboe Global Markets,CBOE
322,Expedia Group,EXPE
323,PulteGroup,PHM
324,HP Inc.,HPQ
325,Teledyne Technologies,TDY
326,PPG Industries,PPG
327,Verisign,VRSN
328,PTC Inc.,PTC
329,Williams-Sonoma,WSM
330,International Paper,IP
331,FirstEnergy,FE
332,Dollar General,DG
333,CenterPoint Energy,CNP
334,Tyler Technologies,TYL
335,Lululemon Athletica,LULU
336,Huntington Bancshares,HBAN
337,Dover Corporation,DOV
338,Northern Trust,NTRS
339,Equity Residential,EQR
340,Steris,STE
341,Eversource Energy,ES
342,Darden Restaurants,DRI
343,First Solar,FSLR
344,T. Rowe Price,TROW
345,Cincinnati Financial,CINF
346,Dollar Tree,DLTR
347,Ulta Beauty,ULTA
348,Jabil,JBL
349,SBA Communications,SBAC
350,Hubbell Incorporated,HUBB
351,Regions Financial Corporation,RF
352,Leidos,LDOS
353,Insulet Corporation,PODD
354,Church & Dwight,CHD
355,NVR Inc.,NVR
356,LabCorp,LH
357,Smurfit WestRock,SW
358,Corpay,CPAY
359,Expand Energy,EXE
360,NetApp,NTAP
361,CDW,CDW
362,CMS Energy,CMS
363,Edison International,EIX
364,Devon Energy,DVN
365,Lennox International,LII
366,Global Payments,GPN
367,Citizens Financial Group,CFG
368,Tapestry Inc.,TPR
369,ON Semiconductor,ON
370,Texas Pacific Land Corporation,TPL
371,Zimmer Biomet,ZBH
372,Quest Diagnostics,DGX
373,Tyson Foods,TSN
374,GoDaddy,GDDY
375,KeyCorp,KEY
376,Biogen,BIIB
377,Trimble Inc.,TRMB
378,NiSource,NI
379,Loews Corporation,L
380,Amcor,AMCR
381,Gen Digital,GEN
382,Genuine Parts Company,GPC
383,Erie Indemnity,ERIE
384,Steel Dynamics,STLD
385,Weyerhaeuser,WY
386,Invitation Homes,INVH
387,McCormick & Company,MKC
388,Halliburton,HAL
389,F5 Inc.,FFIV
390,Gartner,IT
391,Coterra,CTRA
392,Teradyne,TER
393,Jacobs Solutions,J
394,Ralph Lauren Corporation,RL
395,West Pharmaceutical Services,WST
396,Packaging Corporation of America,PKG
397,Pentair,PNR
398,Principal Financial Group,PFG
399,Waters Corporation,WAT
400,LyondellBasell,LYB
401,Snap-on,SNA
402,International Flavors & Fragrances,IFF
403,Incyte,INCY
404,Alliant Energy,LNT
405,Essex Property Trust,ESS
406,Aptiv,APTV
407,Dow Inc.,DOW
408,Southwest Airlines,LUV
409,Evergy,EVRG
410,Mid-America Apartment Communities,MAA
411,Expeditors International,EXPD
412,Fortive,FTV
413,Zebra Technologies,ZBRA
414,Bunge Global,BG
415,Deckers Brands,DECK
416,Hormel Foods,HRL
417,Masco,MAS
418,TKO Group Holdings,TKO
419,Best Buy,BBY
420,Domino's,DPZ
421,Builders FirstSource,BLDR
422,Hologic,HOLX
423,Omnicom Group,OMC
424,Cooper Companies (The),COO
425,Clorox,CLX
426,C.H. Robinson,CHRW
427,Brown–Forman,BF.B
428,Ball Corporation,BALL
429,Allegion,ALLE
430,Kimco Realty,KIM
431,Centene Corporation,CNC
432,Textron,TXT
433,FactSet,FDS
434,Everest Group,EG
435,J.B. Hunt,JBHT
436,CF Industries,CF
437,Avery Dennison,AVY
438,Alexandria Real Estate Equities,ARE
439,Franklin Resources,BEN
440,Regency Centers,REG
441,Paycom,PAYC
442,UDR Inc.,UDR
443,Fox Corporation (Class B),FOX
444,Viatris,VTRS
445,IDEX Corporation,IEX
446,Solventum,SOLV
447,Baxter International,BAX
448,Nordson Corporation,NDSN
449,Fox Corporation (Class A),FOXA
450,J.M. Smucker Company (The),SJM
451,Healthpeak Properties,DOC
452,Pool Corporation,POOL
453,Jack Henry & Associates,JKHY
454,Generac,GNRC
