Ranking,Company Name,Symbol
193,Comcast Corp A,CMCSA
194,CME Group Inc,CME
195,Chipotle Mexican Grill,CMG
196,Cummins Inc,CMI
197,Cms Energy Corp,CMS
198,CNA Financial Corp,CNA
199,Centene Corp,CNC
200,Core & Main Inc Cl A,CNM
201,Centerpoint Energy Inc,CNP
202,Concentrix Corp,CNXC
203,Capital One Financial Corp,COF
204,Coherent Corp,COHR
205,Coinbase Global Inc Cl A,COIN
206,Columbia Banking Sys,COLB
207,Americold Realty Trust,COLD
208,Columbia Sprtswr,COLM
209,Cooper Companies,COO
210,Conocophillips,COP
211,Costco Wholesale,COST
212,Coty Inc,COTY
213,Copa Holdings S.A.,CPA
214,Campbell Soup Company,CPB
215,Capri Holdings Ltd,CPRI
216,Copart Inc,CPRT
217,Camden Property Trust,CPT
218,Crane Company,CR
219,Carter's Inc,CRI
220,Charles River Laboratories Intl,CRL
221,Salesforce Inc,CRM
222,Cirrus Logic Inc,CRUS
223,Crowdstrike Holdings Inc,CRWD
224,Cisco Systems Inc,CSCO
225,Costar Group Inc,CSGP
226,Carlisle Companies Inc,CSL
227,CSX Corp,CSX
228,Cintas Corp,CTAS
229,Catalent Inc,CTLT
230,Coterra Energy Inc,CTRA
231,Cognizant Tech Sol,CTSH
232,Corteva Inc,CTVA
233,Cubesmart,CUBE
234,Cousins Properties Inc,CUZ
235,Carvana Company Cl A,CVNA
236,CVS Corp,CVS
237,Chevron Corp,CVX
238,Curtiss-Wright Corp,CW
239,Caesars Entertainment Inc,CZR
240,Dominion Resources,D
241,Delta Air Lines Inc,DAL
242,Darling International Inc,DAR
243,Doordash Inc Cl A,DASH
244,Dropbox Inc,DBX
245,Donaldson Company,DCI
246,Dupont Denemours Inc,DD
247,Datadog Inc Cl A,DDOG
248,Deere & Company,DE
249,Deckers Outdoor Corp,DECK
250,Douglas Emmett,DEI
251,Dell Technologies Inc,DELL
252,Discover Financial Services,DFS
253,Dollar General Corp,DG
254,Quest Diagnostics Inc,DGX
255,Definitive Healthcare Corp Cl A,DH
256,D.R. Horton,DHI
257,Danaher Corp,DHR
258,HF Sinclair Corp,DINO
259,Walt Disney Company,DIS
260,Dish Network Corp,DISH
261,Draftkings Inc,DKNG
262,Dick's Sporting Goods Inc,DKS
263,Dolby Laboratories,DLB
264,Digital Realty Trust,DLR
265,Dollar Tree Inc,DLTR
266,Ginkgo Bioworks Hldgs Inc,DNA
267,Dun & Bradstreet Holdings Inc,DNB
268,Doximity Inc Cl A,DOCS
269,Docusign Inc,DOCU
270,Dover Corp,DOV
271,Dow Inc,DOW
272,Amdocs Ltd Ord,DOX
273,Domino's Pizza Inc,DPZ
274,Darden Restaurants,DRI
275,Driven Brands Holdings Inc,DRVN
276,Dynatrace Inc,DT
277,Dte Energy Company,DTE
278,Dt Midstream Inc,DTM
279,Duke Energy Corp,DUK
280,Doubleverify Holdings Inc,DV
281,Davita Healthcare Partners Inc,DVA
282,Devon Energy Corp,DVN
283,Dxc Technology Company,DXC
284,Dexcom Inc,DXCM
285,Electronic Arts Inc,EA
286,Ebay Inc,EBAY
287,Ecolab Inc,ECL
288,Consolidated Edison Company,ED
289,Euronet Worldwide,EEFT
290,Equifax Inc,EFX
291,Eastgroup Properties,EGP
292,Enhabit Inc,EHAB
293,Encompass Health Corp,EHC
294,Edison International,EIX
295,Estee Lauder Companies,EL
296,Elanco Animal Health Inc,ELAN
297,Equity Lifestyle Properties,ELS
298,Elevance Health Inc,ELV
299,Eastman Chemical Company,EMN
300,Emerson Electric Company,EMR
301,Enovis Corp,ENOV
302,Enphase Energy Inc,ENPH
303,Entegris Inc,ENTG
304,Eog Resources,EOG
305,Epam Systems Inc,EPAM
306,Entertainment Properties Trust,EPR
307,Axa Equitable Holdings Inc,EQH
308,Equinix Inc,EQIX
309,Equity Residential,EQR
310,Eqt Corp,EQT
311,Erie Indemnity Company,ERIE
312,Eversource Energy,ES
313,Esab Corp,ESAB
314,Element Solutions Inc,ESI
315,Essex Property Trust,ESS
316,Elastic N.V.,ESTC
317,Eaton Corp,ETN
318,Entergy Corp,ETR
319,Etsy Inc,ETSY
320,Enviva Partners LP,EVA
321,Evercore Partners Inc,EVR
322,Evergy Inc,EVRG
323,Edwards Lifesciences Corp,EW
324,East West Bancorp,EWBC
325,Exact Sciences Cor,EXAS
326,Exelon Corp,EXC
327,Exelixis Inc,EXEL
328,Eagle Materials Inc,EXP
329,Expeditors Intl,EXPD
330,Expedia Group Inc,EXPE
331,Extra Space Storage Inc,EXR
332,Ford Motor Company,F
333,First American Corp,FAF
334,Diamondback Energy,FANG
335,Fastenal Company,FAST
336,Fortune Brands Innovations Inc,FBIN
337,Fti Consulting,FCN
