Symbol
ACGL
ADM
AEE
AES
AIG
AIZ
AKAM
ALB
ALGN
ALLE
AMCR
AME
AOS
APA
APTV
ARE
ATO
AVB
AVY
AWK
BALL
BAX
BBY
BEN
BF.B
BG
BIIB
BKR
BLDR
BR
BRO
BXP
CAG
CAH
CBOE
CCI
CCL
CDW
CF
CFG
CHD
CHRW
CHTR
CINF
CLX
CMS
CNC
CNP
COO
CPAY
CPB
CPT
CRL
CSGP
CTRA
CTSH
CZR
DAL
DAY
DD
DECK
DG
DGX
DLTR
DOC
DOV
DOW
DPZ
DRI
DTE
DVA
DVN
DXCM
EA
ED
EFX
EG
EIX
EL
EMN
ENPH
EPAM
EQR
EQT
ERIE
ES
ESS
ETR
EVRG
EXC
EXE
EXPD
EXPE
EXR
FANG
FDS
FE
FFIV
FICO
FIS
FITB
FOX
FOXA
FRT
FSLR
FTV
GDDY
GEHC
GEN
GIS
GL
GNRC
GPC
GPN
GRMN
HAL
HAS
HBAN
HIG
HII
HOLX
HPE
HPQ
HRL
HSIC
HST
HSY
HUBB
HUM
IEX
IFF
INCY
INVH
IP
IPG
IQV
IR
IRM
IT
IVZ
J
JBHT
JBL
JKHY
K
KEY
KEYS
KHC
KIM
KMB
KMX
KVUE
L
LDOS
LEN
LH
LII
LKQ
LNT
LULU
LUV
LVS
LW
LYB
LYV
MAA
MAS
MCHP
MGM
MHK
MKC
MKTX
MLM
MOH
MOS
MPWR
MRNA
MSCI
MTB
MTCH
MTD
NCLH
NDSN
NI
NRG
NTAP
NTRS
NUE
NVR
NWS
NWSA
ODFL
OMC
ON
OTIS
OXY
PAYC
PCG
PEG
PFG
PHM
PKG
PNR
PNW
PODD
POOL
PPG
PPL
PRU
PSKY
PTC
REG
RF
RJF
RL
RMD
ROK
ROL
RVTY
SBAC
SJM
SMCI
SNA
SOLV
STE
STLD
STT
STX
STZ
SW
SWK
SWKS
SYF
SYY
TAP
TDY
TECH
TER
TKO
TPL
TPR
TRGP
TRMB
TROW
TSCO
TSN
TTD
TTWO
TXT
TYL
UAL
UDR
UHS
ULTA
VICI
VLO
VLTO
VMC
VRSK
VRSN
VTR
VTRS
WAB
WAT
WBA
WBD
WDC
WEC
WRB
WSM
WST
WTW
WY
WYNN
XEL
XYL
YUM
ZBH
ZBRA
