symbol
TSLA
NVDA
AMD
META
PLTR
SMCI
COIN
CRWD
FTNT
PANW
DELL
QCOM
CCL
NCLH
UAL
DAL
LUV
ABNB
WBA
ALB
EL
HAL
DVN
SLB
VST
CEG
WBD
T
BA
CRM
CMG
MCD
LLY
AVGO
NFLX
GOOGL
AMZN
AAPL
MSFT
