Symbol
FAZ
USD
UDOW
SOXL
TECL
UPRO
SVXY
TQQQ
SSO
DFEN
WEBL
UCO
FAS
TNA
LABU
SPXU
QLD
SQQQ
NAIL
DDM
HIBL
MIDU
MVV
SAA
SPUU
SPXL
UMDD
URSP
URTY
UWM
FNGG
FNGU
QQQU
QQUP
QQXL
BIB
DIG
DPST
DRN
ERX
GUSH
LTL
NRGU
OILU
PILL
RETL
ROM
RXL
SKYU
TBXU
TPOR
UBOT
UCC
UCYB
UGE
UPW
URE
UTSL
UXI
UYG
UYM
WANT
