date,pair,units,cost
2011-02-07,NZDJPY,50735.05817132734,36.98609411789999
2011-02-08,NZDUSD,20229.82288357653,4.8551574920583676
2011-02-08,NZDJPY,-956.8908622655435,0.6972475102429182
2011-02-09,NZDUSD,1598.1175601952127,0.38354821444685105
2011-02-09,AUDJPY,42768.96563051579,31.16817200882947
2011-02-09,NZDJPY,-526.3348157168366,0.3835700449765608
2011-02-10,NZDUSD,-21827.940443771742,5.238705706505218
2011-02-10,AUDJPY,1242.958013053496,0.8964285980143971
2011-02-10,NZDJPY,466.4146919775085,0.3363810072679581
2011-02-11,AUDJPY,162.58362566635333,0.1169077627571391
2011-02-11,NZDJPY,200.10264250913315,0.1438862749041009
2011-02-14,AUDJPY,1136.8067854021501,0.8189168952723466
2011-02-14,NZDJPY,-49918.349827831604,35.959479291518846
2011-02-15,AUDJPY,514.9037112060469,0.3689082652380776
2011-02-16,AUDJPY,170.50463368012424,0.12227959815937098
2011-02-17,AUDJPY,-836.2906776354503,0.6025438380581081
2011-02-18,AUDJPY,2574.59315928851,1.8592923890243565
2011-02-21,AUDJPY,-2014.5199020751752,1.454316995433999
2011-02-21,NZDJPY,50469.672959070725,36.43493571980272
2011-02-22,AUDJPY,-45720.50497910185,33.15482594568662
2011-02-22,NZDJPY,-50469.672959070725,36.598747613539324
2011-02-25,AUDJPY,36195.33492521168,26.593684967643867
2011-02-28,AUDJPY,1198.1142867852614,0.8793069110638706
2011-03-01,AUDNZD,96175.07476115522,43.09412749897844
2011-03-01,AUDJPY,-37393.44921199694,27.41857252676121
2011-03-02,AUDNZD,-1024.2734980678506,0.45648592133690286
2011-03-02,AUDJPY,37311.60160032307,27.351872935433782
2011-03-03,AUDNZD,6655.279663345966,2.957340071204414
2011-03-03,AUDJPY,-289.68831212358054,0.21089969941654835
2011-03-04,AUDNZD,753.3147033504792,0.33366266829621444
2011-03-04,AUDJPY,3026.7854320622646,2.206594322419089
2011-03-07,AUDNZD,-240.47226532001514,0.10625026570899551
2011-03-07,AUDJPY,-281.85328788190236,0.20569979532329608
2011-03-08,AUDNZD,-6003.525944059249,2.6623236151525145
2011-03-08,AUDJPY,636.5864921247412,0.4622044547537359
2011-03-09,AUDNZD,5720.340953839928,2.5271322265874034
2011-03-09,AUDJPY,146.37539555605326,0.10618839679063678
2011-03-10,AUDNZD,-7826.495520233366,3.4519541141541286
2011-03-10,AUDJPY,-40549.807320060645,29.332904600738313
