Ranking,Company Name,Symbol
385,Globant S.A.,GLOB
386,Gaming & Leisure,GLPI
389,Gamestop Corp,GME
390,Globus Medical Inc,GMED
392,Gentex Corp,GNTX
393,Grocery Outlet Holding Corp,GO
397,Graphic Packaging Holding Company,GPK
399,Gap Inc,GPS
402,Gates Industrial Corp Plc,GTES
403,Guidewire Software Inc,GWRE
405,Gxo Logistics Inc,GXO
406,Hyatt Hotels Corp,H
409,Hayward Holdings Inc,HAYW
411,Hanesbrands Inc,HBI
414,Hawaiian Electric Industries,HE
415,Heico Corp,HEI
416,Heico Cp Cl A,HEI.A
417,Hess Corp,HES
418,Howard Hughes Corp,HHC
421,Highwoods Properties,HIW
423,Harley-Davidson Inc,HOG
426,Robinhood Markets Inc Cl A,HOOD
428,Hudson Pacific Properties,HPP
430,Healthcare Realty Trust Inc.,HR
431,H&R Block,HRB
436,Hertz Global Holdings Inc,HTZ
438,Hubspot Inc,HUBS
440,Huntsman Corp,HUN
442,Hexcel Corp,HXL
443,Horizon Therapeutics,HZNP
444,Iac Inc,IAC
445,Integra Lifesciences,IART
446,Interactive Brokers,IBKR
449,I C U Medical Inc,ICUI
450,Idacorp Inc,IDA
454,Illumina Inc,ILMN
456,Informatica Inc Cl A,INFA
457,Ingredion Inc,INGR
461,Ionis Pharmaceuticals,IONS
464,Ipg Photonics Corp,IPGP
470,ITT Inc,ITT
474,Jamf Holding Corp,JAMF
475,Jazz Pharma Plc,JAZZ
476,Jbg Smith Properties,JBGS
479,Jetblue Airways Cp,JBLU
481,Jefferies Financial Group Inc,JEF
482,Janus Henderson Group Plc,JHG
484,Jones Lang Lasalle Inc,JLL
486,Juniper Networks,JNPR
488,Nordstrom,JWN
490,KBR Inc,KBR
491,Kyndryl Hldgs Inc,KD
493,Kirby Corp,KEX
502,Kemper Corp,KMPR
504,Knight-Swift Transporation Inc,KNX
507,Kilroy Realty Corp,KRC
508,Kohl's Corp,KSS
510,Lithia Motors,LAD
511,Lamar Advertis A,LAMR
512,Lazard Ltd,LAZ
513,Liberty Broadbd A,LBRDA
514,Liberty Broadbd C,LBRDK
515,Lucid Group Inc,LCID
517,Lear Corp,LEA
518,Lincoln Elec Holdings,LECO
519,Leggett & Platt Inc,LEG
521,Lennar Corp Cl B,LEN.B
522,Leslie's Inc,LESL
523,Littelfuse Inc,LFUS
528,Lumentum Holdings,LITE
532,Lincoln National Corp,LNC
533,Cheniere Energy,LNG
535,Grand Canyon Educati,LOPE
537,Lpl Financial Holdings,LPLA
538,Louisiana-Pacific Corp,LPX
540,Lattice Semicond,LSCC
541,Life Storage,LSI
542,Landstar System,LSTR
543,Liberty Srs XM CS A,LSXMA
544,Liberty Srs XM CS C,LSXMK
546,Lumen Technologies Inc,LUMN
551,Lyft Inc Cl A,LYFT
553,Macy's Inc,M
556,Manpower Inc,MAN
557,Manhattan Assoc,MANH
560,Masimo Corp,MASI
561,Mattel Inc,MAT
562,Masterbrand Inc,MBC
567,Mister Car Wash Inc,MCW
568,Mongodb Inc Cl A,MDB
571,Mdu Res Group Inc,MDU
576,Middleby Corp,MIDD
578,Markel Corp,MKL
579,Mks Instruments Inc,MKSI
587,Morningstar Inc,MORN
589,Mp Materials Corp,MP
591,Medical Properties Trust,MPW
593,Mercury Sys Inc,MRCY
596,Marathon Oil Corp,MRO
597,Mirati Therapeutics,MRTX
598,Maravai Lifesciences Holdings Inc Cl A,MRVI
599,Marvell Technology Inc,MRVL
601,Msa Safety Inc,MSA
604,Madison Square Garden Sports Corp,MSGS
606,Msc Industrial Direct Company,MSM
610,Mgic Investment Corp,MTG
611,Vail Resorts,MTN
612,Mastec Inc,MTZ
614,Natl Instruments Cor,NATI
615,Neurocrine Bioscienc,NBIX
617,Ncino Inc,NCNO
618,NCR Corp,NCR
623,Cloudflare Inc Cl A,NET
624,Newmarket Corp,NEU
625,New Relic Inc,NEWR
626,New Fortress Energy Llc,NFE
627,National Fuel Gas Company,NFG
631,Annaly Capital Management Inc,NLY
632,National Retail Properties,NNN
634,Nov Inc,NOV
637,National Storage Affiliates Tru,NSA
640,Nutanix Inc,NTNX
641,Natera Inc,NTRA
644,Novavax Inc,NVAX
645,Novocure Ltd Ord Sh,NVCR
648,Envista Holdings Corp,NVST
649,Nvent Electric Plc,NVT
650,Newell Rubbermaid Inc,NWL
653,Nexstar Media Group Inc,NXST
654,New York Community Bancorp,NYCB
655,New York Times Company,NYT
657,Owens Corning Inc,OC
659,Oge Energy Corp,OGE
660,Organon & Co.,OGN
661,Omega Healthcare Investors,OHI
663,Okta Inc Cl A,OKTA
664,Universal Display,OLED
665,Ollies Bargain CS,OLLI
666,Olin Corp,OLN
667,Olaplex Holdings Inc,OLPX
669,Onemain Holdings Inc,OMF
671,Opendoor Technologies Inc,OPEN
673,Old Republic International Corp,ORI
675,Oak Street Health Inc,OSH
676,Oshkosh Truck Corp,OSK
678,Ovintiv Inc,OVV
679,Blue Owl Capital Inc,OWL
681,Bank Ozk,OZK
682,Pacwest Bancorp,PACW
683,Penske Automotive Group,PAG
685,Paramount Global Cl B,PARA
686,Paramount Global Cl A,PARAA
687,Uipath Inc Cl A,PATH
690,Prosperity Bancshares,PB
693,Procore Technologies Inc,PCOR
694,Paylocity Holdings Corp,PCTY
695,Pdc Energy Inc,PDCE
696,Healthpeak Properties Inc,PEAK
698,Pegasystems Inc,PEGA
699,Penumbra Inc,PEN
700,Penn Entertainment Inc,PENN
704,Performance Food Group Company,PFGC
709,Polaris Industries Inc,PII
710,Premier Inc Cl A,PINC
711,Pinterest Inc,PINS
712,Park Hotels & Resorts Inc,PK
714,Perkinelmer,PKI
716,Planet Fitness,PLNT
717,Playtika Holding Corp,PLTK
719,Plug Power Inc,PLUG
722,Pinnacle Finl Ptnrs,PNFP
727,Post Holdings Inc,POST
728,Pilgrim's Pride,PPC
731,Perrigo Company,PRGO
732,Primerica Inc,PRI
735,Pure Storage Inc,PSTG
738,Peloton Interactive Inc,PTON
739,Phillips-Van Heusen Corp,PVH
741,Pioneer Natural Resources Company,PXD
742,Paycor Hcm Inc,PYCR
745,Quidelortho Corp,QDEL
746,Qiagen N.V.,QGEN
747,Qorvo Inc,QRVO
748,Quantumscape Corp,QS
749,Ryder System,R
750,Ultragenyx Pharmaceu,RARE
751,Ritchie Bros. Auctioneers Inc,RBA
752,Roblox Corp Cl A,RBLX
754,Everest Re Group,RE
757,Rexford Industrial Realty Inc,REXR
758,Reynolds Consumer Products Inc,REYN
760,Reinsurance Group of America Inc,RGA
761,Repligen Cp,RGEN
762,Royal Gold Inc,RGLD
763,Rh Common Stock,RH
764,Robert Half International Inc,RHI
765,Rithm Capital Corp,RITM
766,Rivian Automotive Inc Cl A,RIVN
768,Rocket Companies Inc Cl A,RKT
771,Ringcentral Inc,RNG
772,Renaissancere Holdings Ltd,RNR
774,Roku Inc,ROKU
778,RPM International Inc,RPM
779,Royalty Pharma Plc Cl A,RPRX
780,Range Resources Corp,RRC
781,Regal Rexnord Corp,RRX
782,Reliance Steel & Aluminum Company,RS
785,Sunrun Inc,RUN
786,Ryan Specialty Hldgs Inc,RYAN
787,Rayonier Inc REIT,RYN
788,Sentinelone Inc Cl A,S
789,Science Applications International,SAIC
790,Boston Beer Company,SAM
793,Southern Copper Corp,SCCO
795,Service Corp International,SCI
796,Seaboard Corp,SEB
797,Sealed Air Corp,SEE
798,Sei Investments Company,SEIC
799,Stifel Financial Corp,SF
800,Seagen Inc,SGEN
801,Sotera Health Company,SHC
803,Sirius XM Holdings,SIRI
804,Siteone Landscape Supply,SITE
805,Six Flags Entertainment Corp,SIX
807,Skechers U.S.A.,SKX
809,SL Green Realty Corp,SLG
