bucket,n_days,sum_daily_diff,mean_daily_diff,share_of_total,implied_sharpe_contribution
bear_onset,63,0.08352725183696474,0.0013258293942375356,0.06914278482172717,0.0274310941484161
bear_exit,63,0.4806461879568785,0.007629304570744104,0.3978727327717326,0.15784849308411705
other_transition,359,-0.10436503892999649,-0.0002907104148467869,-0.08639203698133004,-0.034274409198566495
persistent,1870,0.7482316289429576,0.0004001238657448971,0.6193765193878703,0.24572593742721235
