date,pair,units,cost
2011-12-19,EURUSD,13952.570042141653,3.348616810113997
2011-12-19,USDCAD,-14604.094608060775,3.374783556331324
2011-12-19,USDNOK,-13052.365654379726,0.5274304643730969
2011-12-19,USDSEK,11079.847088327811,0.3837730265837314
2011-12-26,EURUSD,-66.62838750346054,0.01599081300083053
2011-12-26,USDCAD,29730.45918006986,6.99622524533942
2011-12-26,NZDUSD,-14119.21129022763,3.388610709654631
2011-12-26,USDNOK,-58.339495682175766,0.002350227270452738
2011-12-26,USDSEK,-11079.847088327811,0.386742386514831
2012-01-02,EURUSD,-13885.941654638193,3.3326259971131664
2012-01-02,USDJPY,35455.84090094492,11.068708624348682
2012-01-02,USDCHF,-16585.171728074423,4.236494970771278
2012-01-02,USDCAD,1949.7238097824502,0.45973209379449426
2012-01-02,NZDUSD,-1557.5298521033637,0.37380716450480733
2012-01-02,USDNOK,13110.705150061902,0.5258743604938341
2012-01-09,EURUSD,13935.809608477697,3.3445943060346472
2012-01-09,USDJPY,-35455.84090094492,11.080527392346971
2012-01-09,USDCHF,16585.171728074423,4.192144512625447
2012-01-09,GBPUSD,11869.225532221075,2.848614127733058
2012-01-09,USDCAD,-34635.79272657231,8.124428490536529
2012-01-09,NZDUSD,-986.9934197278781,0.23687842073469073
2012-01-16,EURUSD,-13935.809608477697,3.3445943060346472
2012-01-16,GBPUSD,208.75603576224057,0.05010144858293774
2012-01-16,USDCAD,38625.60220521036,9.110617614815075
2012-01-16,NZDUSD,-1809.206559571434,0.43420957429714413
2012-01-16,USDSEK,-16104.809212675886,0.553651837942218
2012-01-23,EURUSD,-12652.694795202075,3.0366467508484978
2012-01-23,USDCHF,16844.384976980098,4.360535427111664
2012-01-23,GBPUSD,-12077.981567983315,2.898715576315996
2012-01-23,USDCAD,-44007.554138709806,10.48402155336439
2012-01-23,NZDUSD,39513.819801945574,9.483316752466939
2012-01-23,USDSEK,16104.809212675886,0.5735075615464371
2012-01-30,EURUSD,561.8707446240005,0.13484897870976012
2012-01-30,USDJPY,26658.142824694325,8.382514612416166
2012-01-30,USDCHF,-16844.384976980098,4.408707367171471
2012-01-30,GBPUSD,-12601.547057084868,3.0243712937003684
2012-01-30,USDCAD,47622.7777933091,11.415197673302556
2012-01-30,NZDUSD,-21040.878680315273,5.049810883275666
2012-02-06,EURUSD,24458.65206735028,5.870076496164067
2012-02-06,USDJPY,-26658.142824694325,8.361590096093154
2012-02-06,GBPUSD,12601.547057084868,3.0243712937003684
2012-02-06,USDCAD,-36.68856908023372,0.008843549147062875
2012-02-06,NZDUSD,-22177.126903058932,5.322510456734144
2012-02-06,USDNOK,-14312.749337126726,0.5906427045136377
2012-02-13,EURUSD,-12367.828016772204,2.968278724025329
2012-02-13,USDJPY,-28055.23211228134,8.68135083412522
2012-02-13,GBPUSD,18431.6408675331,4.4235938082079445
2012-02-13,USDCAD,-53580.910956285545,12.867267662782828
2012-02-13,NZDUSD,47945.29314794061,11.506870355505747
2012-02-13,USDNOK,14312.749337126726,0.6009236465739052
2012-02-20,EURUSD,15373.947843230031,3.6897474823752074
2012-02-20,USDJPY,5146.398885672221,1.5512493187326781
2012-02-20,GBPUSD,-18431.6408675331,4.4235938082079445
2012-02-20,USDCAD,28936.47801033691,6.992443185002576
2012-02-20,NZDUSD,38.819791155438,0.00931674987730512
2012-02-20,USDSEK,-15481.749805462068,0.5590845413429176
2012-02-27,EURUSD,-15373.947843230031,3.6897474823752074
2012-02-27,USDJPY,4807.003889074749,1.4316501208402905
2012-02-27,GBPUSD,16875.66126437398,4.050158703449755
2012-02-27,USDCAD,-33379.6572174574,8.020822927932576
2012-02-27,NZDUSD,-2518.4262165342843,0.6044222919682283
2012-02-27,USDSEK,15481.749805462068,0.5635789945715689
2012-03-05,USDJPY,-1848.744400324813,0.544155135674898
2012-03-05,GBPUSD,-16875.66126437398,4.050158703449755
2012-03-05,USDCAD,62187.60300721625,15.009377422848306
2012-03-05,NZDUSD,-2911.8670195545856,0.6988480846931006
2012-03-05,USDSEK,-15686.738155339342,0.5623746593892662
2012-03-12,USDJPY,2220.3091100613783,0.6482023482078761
2012-03-12,GBPUSD,12881.301955294932,3.091512469270784
2012-03-12,USDCAD,-2526.388142309719,0.6111243692089307
2012-03-12,NZDUSD,-20376.692799948243,4.890406271987579
2012-03-12,USDSEK,1253.7366721253784,0.044249529604425124
2012-03-19,EURUSD,12889.609054133423,3.0935061729920217
2012-03-19,USDJPY,17730.264627797806,5.106826895495318
2012-03-19,GBPUSD,-25165.711093089078,6.039770662341379
2012-03-19,USDCAD,-26281.557647449124,6.392854514612724
2012-03-19,NZDUSD,16632.732188518854,3.991855725244525
2012-03-19,USDNOK,-11075.168945195333,0.46490372316907685
2012-03-19,USDSEK,14433.001483213964,0.5160556524546506
2012-03-26,EURUSD,-26094.30696772652,6.262633672254365
2012-03-26,GBPUSD,-4.820942194113741,0.0011570261265872977
2012-03-26,NZDUSD,-16632.732188518854,3.991855725244525
2012-03-26,USDNOK,21922.36563506523,0.9277671931609337
2012-03-26,USDSEK,13258.089260318087,0.47766140095719295
