variant,partition,n_days,sum_excess,mean_excess,std_excess,partition_sharpe_annual
V14a-soft-bear-cash,BEAR_SOFT,366,-0.037555120924590124,-0.00010260962001254133,0.0370054045036563,-0.04401727914891954
V14a-soft-bear-cash,NOT_BEAR_SOFT,1989,-0.34762195797781814,-0.00017477222623319162,0.002436237177830724,-1.138814851612792
V14a-soft-bear-cash,BEAR_SOFT_share_of_total_excess_pct,366,-0.037555120924590124,,0.0370054045036563,9.750092355341167
V14b-soft-bear-spy,BEAR_SOFT,366,-0.08468422277198917,-0.00023137765784696495,0.024289935196709213,-0.15121516051206207
V14b-soft-bear-spy,NOT_BEAR_SOFT,1989,-0.07564206923006456,-3.8030200718986706e-05,0.0017256716834633601,-0.3498410075676888
V14b-soft-bear-spy,BEAR_SOFT_share_of_total_excess_pct,366,-0.08468422277198917,,0.024289935196709213,52.81992224388523
V14c-soft-bear-dampen,BEAR_SOFT,366,-0.04118582278410299,-0.00011252957044836882,0.019681694587759143,-0.0907620806388718
V14c-soft-bear-dampen,NOT_BEAR_SOFT,1989,-0.18009240535165838,-9.054419575246776e-05,0.0011572089133138226,-1.242078704364845
V14c-soft-bear-dampen,BEAR_SOFT_share_of_total_excess_pct,366,-0.04118582278410299,,0.019681694587759143,18.61268644958335
