date,pair,ts,side,price,qty,day_r
2011-02-25,GBPJPY,2011-02-25 08:01:00+00:00,sell,131.99001,0.01207729468599071,-1.0521739130434806
2011-03-02,GBPUSD,2011-03-02 09:27:00+00:00,buy,1.62663,0.9523809523809565,0.8035374149659887
2011-03-02,EURUSD,2011-03-02 09:01:00+00:00,buy,1.37833,1.2106537530266441,0.9378242822552633
2011-03-02,GBPJPY,2011-03-02 09:27:00+00:00,buy,133.25301,0.011286681715576037,0.8123992260561336
2011-03-07,EURUSD,2011-03-07 08:04:00+00:00,sell,1.39581,1.4662756598240843,-1.070381231671556
2011-03-10,GBPUSD,2011-03-10 08:01:00+00:00,sell,1.61506,0.8710801393728104,0.9203385899814247
2011-03-10,EURUSD,2011-03-10 08:01:00+00:00,sell,1.38263,0.759878419452884,0.2701030927835127
2011-03-10,EURGBP,2011-03-10 08:01:00+00:00,sell,0.856,2.1929824561404003,0.6223945094051706
2011-03-10,GBPJPY,2011-03-10 08:01:00+00:00,sell,133.69601,0.010162601626015875,-1.0441176470588227
2011-03-11,GBPUSD,2011-03-11 08:01:00+00:00,sell,1.6026,1.385041551246494,0.5146809712027097
2011-03-11,EURUSD,2011-03-11 08:08:00+00:00,buy,1.3834,1.4245014245014642,-1.0683760683760704
2011-03-11,EURGBP,2011-03-11 08:01:00+00:00,buy,0.86135,2.3041474654379,0.796812749004001
2011-03-11,GBPJPY,2011-03-11 08:01:00+00:00,sell,132.65301,0.006485084306096092,0.8277644391089655
2011-03-14,EURUSD,2011-03-14 08:17:00+00:00,sell,1.39121,1.4662756598240843,-1.070381231671556
2011-03-14,EURGBP,2011-03-14 08:01:00+00:00,buy,0.86844,2.3255813953488533,-1.098360655737705
2011-03-15,GBPUSD,2011-03-15 08:01:00+00:00,sell,1.60626,0.5567928730512257,-0.04297520661157504
2011-03-15,EURGBP,2011-03-15 08:01:00+00:00,buy,0.86644,1.6233766233766385,0.5887068044175348
2011-03-16,GBPUSD,2011-03-16 08:01:00+00:00,buy,1.60836,1.3661202185792363,0.8607533177205421
2011-03-16,EURUSD,2011-03-16 09:24:00+00:00,sell,1.3956600000000001,1.5151515151515802,0.6740259740260313
2011-03-16,GBPJPY,2011-03-16 08:21:00+00:00,buy,130.50301,0.00566251415628551,-1.0271800679501704
2011-03-17,GBPUSD,2011-03-17 08:01:00+00:00,buy,1.60609,0.7763975155279502,0.6614176801597295
2011-03-17,EURUSD,2011-03-17 08:01:00+00:00,buy,1.3959,0.7923930269413582,0.8053935860058383
2011-03-18,GBPUSD,2011-03-18 08:55:00+00:00,sell,1.6094,0.5192107995846299,-0.9574247144340562
2011-03-18,EURGBP,2011-03-18 08:01:00+00:00,buy,0.87256,1.0395010395010436,0.1450980392156827
2011-03-22,EURGBP,2011-03-22 08:53:00+00:00,sell,0.8708,2.499999999999998,0.7210714285714266
2011-03-22,GBPJPY,2011-03-22 08:24:00+00:00,buy,132.48701,0.00699300699300696,0.2895104895104805
2011-03-23,GBPUSD,2011-03-23 09:02:00+00:00,sell,1.63392,1.0799136069114676,0.9017278617710879
2011-03-24,GBPUSD,2011-03-24 08:01:00+00:00,sell,1.62141,1.1235955056180171,0.726489244346388
2011-03-24,EURUSD,2011-03-24 08:02:00+00:00,sell,1.40666,1.1655011655011913,-1.0559440559440572
2011-03-24,EURGBP,2011-03-24 08:31:00+00:00,buy,0.86862,2.0920502092051154,0.9104901374775998
2011-03-25,EURGBP,2011-03-25 09:05:00+00:00,buy,0.88079,2.242152466367759,-1.1076233183856525
2011-03-28,EURUSD,2011-03-28 07:39:00+00:00,buy,1.40713,0.9940357852882526,0.5964214711729335
2011-03-28,EURGBP,2011-03-28 07:05:00+00:00,buy,0.87872,1.8450184501845086,0.7998154981549869
2011-03-29,EURUSD,2011-03-29 07:10:00+00:00,buy,1.41259,0.7739938080495463,-1.0371517027863781
2011-03-29,GBPJPY,2011-03-29 08:07:00+00:00,buy,130.98001,0.00734214390602074,0.8667925319907699
2011-03-30,GBPUSD,2011-03-30 07:05:00+00:00,buy,1.60263,1.0266940451745528,0.9041507773540657
2011-03-30,EURUSD,2011-03-30 07:01:00+00:00,sell,1.40643,0.8375209380234774,-0.5226537216828322
2011-03-30,EURGBP,2011-03-30 07:01:00+00:00,sell,0.878,2.4038461538461875,0.348357524828126
2011-03-30,GBPJPY,2011-03-30 07:01:00+00:00,buy,132.96801,0.005494505494505515,0.2842497670084005
2011-04-04,EURUSD,2011-04-04 07:18:00+00:00,sell,1.42124,0.9124087591240994,-0.3996350364963366
2011-04-05,GBPUSD,2011-04-05 07:17:00+00:00,buy,1.61468,1.2345679012346025,1.0314814814815287
2011-04-05,EURUSD,2011-04-05 07:01:00+00:00,sell,1.41816,1.0020040080160666,-0.501002004008019
2011-04-05,EURGBP,2011-04-05 07:01:00+00:00,sell,0.8796700000000001,2.2624434389140946,1.5757918552036498
2011-04-06,GBPUSD,2011-04-06 07:01:00+00:00,buy,1.63448,1.0121457489878656,-1.0448598130841125
2011-04-06,EURUSD,2011-04-06 07:01:00+00:00,buy,1.42769,0.9433962264151192,0.8386658795749989
2011-04-07,GBPUSD,2011-04-07 07:49:00+00:00,buy,1.63293,1.0121457489878656,-1.0485829959514175
2011-04-07,EURUSD,2011-04-07 07:01:00+00:00,sell,1.42906,1.249999999999999,0.7893277310924164
2011-04-07,EURGBP,2011-04-07 07:02:00+00:00,sell,0.8764500000000001,2.4271844660194755,0.5861650485436987
2011-04-08,GBPUSD,2011-04-08 07:19:00+00:00,buy,1.6394,0.6289308176100706,-0.19119496855345494
2011-04-08,EURGBP,2011-04-08 07:01:00+00:00,buy,0.87932,1.497005988023948,0.3581267217630793
2011-04-08,GBPJPY,2011-04-08 07:24:00+00:00,buy,139.61801,0.004325259515570912,-0.31920415224913234
2011-04-11,GBPUSD,2011-04-11 07:01:00+00:00,sell,1.6325,1.037344398340239,-1.0358208955223884
2011-04-11,GBPJPY,2011-04-11 07:01:00+00:00,sell,138.27601,0.004816955684007788,-0.5545886075949389
2011-04-13,GBPUSD,2011-04-13 07:50:00+00:00,buy,1.62946,1.0000000000000213,-1.048000000000001
2011-04-13,EURUSD,2011-04-13 07:01:00+00:00,buy,1.45061,1.0706638115631801,-0.1682419659735419
2011-04-14,GBPUSD,2011-04-14 07:21:00+00:00,buy,1.63482,0.5224660397074269,0.09822361546499196
2011-04-15,EURUSD,2011-04-15 08:21:00+00:00,sell,1.4457200000000001,1.1086474501109158,0.8146974976243498
2011-04-15,EURGBP,2011-04-15 08:10:00+00:00,sell,0.88466,2.4038461538461875,0.7247596153846319
2011-04-15,GBPJPY,2011-04-15 07:49:00+00:00,sell,135.72801,0.0038226299694189814,0.0909785932721723
2011-04-18,GBPUSD,2011-04-18 07:01:00+00:00,sell,1.627,0.9057971014492804,-1.0434782608695654
2011-04-18,EURUSD,2011-04-18 07:28:00+00:00,sell,1.43449,0.6711409395973194,0.8785234899328965
2011-04-18,EURGBP,2011-04-18 07:29:00+00:00,sell,0.88063,1.7006802721088767,0.7804907677356914
2011-04-18,GBPJPY,2011-04-18 07:01:00+00:00,sell,134.83701,0.004849660523763309,0.9879104891228897
2011-04-20,GBPUSD,2011-04-20 07:01:00+00:00,buy,1.63582,1.0706638115631801,-1.0513918629550327
2011-04-20,EURUSD,2011-04-20 07:01:00+00:00,buy,1.44172,0.6112469437652921,0.8658370269348946
2011-04-20,EURGBP,2011-04-20 08:20:00+00:00,buy,0.88198,1.2106537530266441,0.8770321687997333
2011-04-21,GBPUSD,2011-04-21 07:01:00+00:00,buy,1.64772,0.5931198102016652,0.8386243386243332
2011-04-21,EURUSD,2011-04-21 07:28:00+00:00,buy,1.46194,0.43402777777777873,-0.4730902777777733
2011-04-21,EURGBP,2011-04-21 08:30:00+00:00,sell,0.8845000000000001,1.5384615384615503,0.8425274725274896
2011-04-21,GBPJPY,2011-04-21 07:28:00+00:00,buy,135.36601,0.007288629737609556,0.06559766763851052
2011-04-22,EURGBP,2011-04-22 07:06:00+00:00,sell,0.88012,1.5337423312883245,-0.3680981595091859
2011-04-22,GBPJPY,2011-04-22 07:02:00+00:00,buy,135.36101,0.0084175084175085,-0.3148148148147885
2011-04-26,GBPUSD,2011-04-26 07:38:00+00:00,buy,1.65109,0.8077544426494453,-1.0387722132471733
2011-04-26,EURUSD,2011-04-26 07:33:00+00:00,buy,1.45886,0.5181347150259101,0.35129533678756936
2011-04-26,EURGBP,2011-04-26 07:01:00+00:00,buy,0.88421,1.5576323987539256,0.6926129426129233
2011-04-27,GBPUSD,2011-04-27 07:01:00+00:00,sell,1.64553,0.9803921568627251,-1.0361990950226236
2011-04-27,EURUSD,2011-04-27 07:26:00+00:00,sell,1.46595,0.9803921568627677,0.2607843137255102
2011-04-27,EURGBP,2011-04-27 07:32:00+00:00,buy,0.89108,2.016129032258034,-1.0967741935483857
2011-04-27,GBPJPY,2011-04-27 08:30:00+00:00,buy,134.84701,0.00768049155145917,1.3277375466315389
2011-04-28,GBPJPY,2011-04-28 07:01:00+00:00,sell,136.37501,0.007898894154818203,0.7887086236933877
2011-05-03,GBPUSD,2011-05-03 07:35:00+00:00,sell,1.65806,0.6297229219143707,0.9167416336811967
2011-05-03,EURUSD,2011-05-03 08:10:00+00:00,sell,1.47674,0.6570302233902658,-0.9842312746386154
