regime,n_trades,mean_net_return,std_net_return,sharpe_per_trade,sharpe_ci_low,sharpe_ci_high
STRONG_BULL,643,0.005468080016370489,0.021164883228590635,0.2583562572641043,0.19004542174771533,0.3200518657033215
WEAK_BULL,1381,0.004390729146875026,0.020388390501881938,0.21535437760375165,0.1739946361403347,0.2555271910216257
SIDEWAYS,311,0.005145166989095141,0.02154580960517715,0.2388012835618315,0.14079708525141135,0.3283751386523843
UNPREDICTABLE,0,,,,,
BEAR,0,,,,,
