bucket,n_trades,mean_net_return,std_net_return,sharpe_per_trade
transition_day,501,0.0077202087003966045,0.025666652049039243,0.30078752326739816
persistent_day,1834,0.003986856476047178,0.01913034725450338,0.20840481476930076
overall,2335,0.004787888366582109,0.020757882269202187,0.23065398986705632
