relative_day,median_bear_score,p25_bear_score,p75_bear_score,n_events
-30,0.0,0.0,0.4444444444444444,63
-29,0.0,0.0,0.38888888888888884,63
-28,0.0,0.0,0.38888888888888884,63
-27,0.0,0.0,0.4444444444444444,63
-26,0.1111111111111111,0.0,0.4444444444444444,63
-25,0.0,0.0,0.38888888888888884,63
-24,0.0,0.0,0.4444444444444444,63
-23,0.0,0.0,0.4444444444444444,63
-22,0.0,0.0,0.4444444444444444,63
-21,0.0,0.0,0.4444444444444444,63
-20,0.1111111111111111,0.0,0.3333333333333333,63
-19,0.1111111111111111,0.0,0.5555555555555555,63
-18,0.1111111111111111,0.0,0.38888888888888884,63
-17,0.1111111111111111,0.0,0.4444444444444444,63
-16,0.1111111111111111,0.0,0.4444444444444444,63
-15,0.1111111111111111,0.0,0.4444444444444444,63
-14,0.1111111111111111,0.0,0.4444444444444444,63
-13,0.2222222222222222,0.0,0.5555555555555555,63
-12,0.2222222222222222,0.0,0.5555555555555555,63
-11,0.1111111111111111,0.0,0.5555555555555555,63
-10,0.2222222222222222,0.0,0.5555555555555555,63
-9,0.2222222222222222,0.0,0.5555555555555555,63
-8,0.2222222222222222,0.0,0.5555555555555555,63
-7,0.3333333333333333,0.0,0.5555555555555555,63
-6,0.3333333333333333,0.05555555555555555,0.5555555555555555,63
-5,0.3333333333333333,0.0,0.5555555555555555,63
-4,0.4444444444444444,0.1111111111111111,0.611111111111111,63
-3,0.4444444444444444,0.1111111111111111,0.5555555555555555,63
-2,0.4444444444444444,0.2222222222222222,0.5555555555555555,63
-1,0.4444444444444444,0.2222222222222222,0.5555555555555555,63
0,0.5555555555555555,0.5555555555555555,0.6666666666666666,63
1,0.5555555555555555,0.5555555555555555,0.7777777777777778,63
2,0.5555555555555555,0.3333333333333333,0.7222222222222222,63
3,0.5555555555555555,0.2777777777777778,0.7777777777777778,63
4,0.5555555555555555,0.3333333333333333,0.6666666666666666,63
5,0.5555555555555555,0.3333333333333333,0.7777777777777778,63
6,0.5555555555555555,0.2777777777777778,0.7777777777777778,63
7,0.5555555555555555,0.16666666666666666,0.6666666666666666,63
8,0.4444444444444444,0.1111111111111111,0.7777777777777778,63
9,0.3333333333333333,0.05555555555555555,0.7222222222222222,63
10,0.3333333333333333,0.1111111111111111,0.7777777777777778,63
