tau,median_argmax_lag,mean_argmax_lag,median_trough_lag,mean_trough_lag,n_events_crossed
0.2,26.0,22.19047619047619,29.0,24.047619047619047,63
0.3,24.0,20.016393442622952,21.0,21.770491803278688,61
0.4,18.0,18.06896551724138,19.0,19.844827586206897,58
0.5,17.0,17.19607843137255,15.0,18.607843137254903,51
