horizon_days,pearson_r,n_obs,p_value
1,0.019930791663084813,2359,0.33323799404004595
5,-0.19819599970546264,2355,2.7471479269590344e-22
10,-0.2132171649981167,2350,1.4501187409352805e-25
20,-0.18058561940059947,2340,1.3276943955730203e-18
